"location","date","total_deaths_per_million","population_density","human_development_index"
"Uzbekistan","2021-06-01",20.333,76.134,0.72
"Tunisia","2021-06-01",1065.705,74.228,0.74
"Croatia","2021-06-01",1968.318,73.726,0.851
"Lesotho","2021-06-01",150.991,73.562,0.527
"Burkina Faso","2021-06-01",7.768,70.151,0.452
"Ireland","2021-06-01",991.59,69.874,0.955
"Samoa","2021-06-01",0,69.413,0.715
"Bosnia and Herzegovina","2021-06-01",2840.544,68.496,0.78
"Ecuador","2021-06-01",1152.698,66.939,0.759
"Mexico","2021-06-01",1749.087,66.444,0.779
"Guinea-Bissau","2021-06-01",33.739,66.191,0.48
"Bulgaria","2021-06-01",2570.232,65.18,0.816
"Georgia","2021-06-01",1207.104,65.032,0.812
"Tanzania","2021-06-01",0.341,64.699,0.529
"Tajikistan","2021-06-01",9.334,64.281,0.668
"World","2021-06-01",467.61,58.045,0.737
"Panama","2021-06-01",1455.41,55.133,0.815
"Afghanistan","2021-06-01",74.632,54.422,0.511
"Yemen","2021-06-01",43.358,53.508,0.47
"Guinea","2021-06-01",12.002,51.755,0.477
"Nicaragua","2021-06-01",27.901,51.667,0.66
"Cameroon","2021-06-01",46.833,50.885,0.563
"Iran","2021-06-01",944.704,49.831,0.783
"Fiji","2021-06-01",4.43,49.562,0.743
"Liberia","2021-06-01",16.602,49.127,0.48
"Belarus","2021-06-01",302.98,46.858,0.823
"South Africa","2021-06-01",942.69,46.754,0.709
"Montenegro","2021-06-01",2523.68,46.28,0.829
"Equatorial Guinea","2021-06-01",81.385,45.194,0.592
"Lithuania","2021-06-01",1589.673,45.135,0.882
"Eritrea","2021-06-01",3.887,44.304,0.459
"Colombia","2021-06-01",1741.842,44.223,0.767
"Madagascar","2021-06-01",29.584,43.951,0.528
"Zimbabwe","2021-06-01",105.949,42.729,0.571
"Djibouti","2021-06-01",153.662,41.285,0.524
"Bahamas","2021-06-01",579.471,39.497,0.814
"Mozambique","2021-06-01",25.993,37.728,0.456
"Turks and Caicos Islands","2021-06-01",433.386,37.312,0
"Venezuela","2021-06-01",92.702,36.253,0.711
"Democratic Republic of Congo","2021-06-01",8.465,35.879,0.48
"United States","2021-06-01",1774.774,35.608,0.926
"Faeroe Islands","2021-06-01",20.386,35.308,0
"Kyrgyzstan","2021-06-01",273.824,32.333,0.697
"Latvia","2021-06-01",1274.282,31.212,0.866
"Estonia","2021-06-01",949.299,31.033,0.892
"Laos","2021-06-01",0.407,29.715,0.613
"Peru","2021-06-01",5516.314,25.129,0.777
"Brazil","2021-06-01",2175.665,25.04,0.765
"Sweden","2021-06-01",1422.32,24.718,0.945
"Chile","2021-06-01",1527.35,24.282,0.851
"Angola","2021-06-01",22.75,23.89,0.581
"Somalia","2021-06-01",47.006,23.5,0
"Sudan","2021-06-01",59.275,23.258,0.51
"Zambia","2021-06-01",67.757,22.995,0.584
"Vanuatu","2021-06-01",3.18,22.662,0.609
"Solomon Islands","2021-06-01",0,21.841,0.567
"Bhutan","2021-06-01",1.282,21.188,0.654
"Uruguay","2021-06-01",1245.857,19.751,0.817
"Papua New Guinea","2021-06-01",17.765,18.22,0.555
"New Zealand","2021-06-01",5.072,18.206,0.931
"Finland","2021-06-01",175.728,18.136,0.938
"Algeria","2021-06-01",77.998,17.348,0.748
"Paraguay","2021-06-01",1287.183,17.144,0.728
"Niger","2021-06-01",7.64,16.955,0.394
"Belize","2021-06-01",802.638,16.426,0.716
"Argentina","2021-06-01",1726.38,16.177,0.845
"Congo","2021-06-01",27.046,15.405,0.574
"New Caledonia","2021-06-01",0,15.342,0
"Saudi Arabia","2021-06-01",208.74,15.322,0.854
"Mali","2021-06-01",24.789,15.196,0.434
"Oman","2021-06-01",451.049,14.98,0.813
"Norway","2021-06-01",143.259,14.462,0.957
"Turkmenistan","2021-06-01",0,12.253,0.715
"Chad","2021-06-01",10.228,11.833,0.398
"Bolivia","2021-06-01",1237.14,10.202,0.718
"Russia","2021-06-01",821.248,8.823,0.824
"Gabon","2021-06-01",66.701,7.859,0.703
"Central African Republic","2021-06-01",19.919,7.479,0.397
"Kazakhstan","2021-06-01",385.418,6.681,0.825
"Mauritania","2021-06-01",96.961,4.289,0.546
