"date","developed","new_cases_smoothed","new_cases_smoothed_per_million","new_deaths_smoothed","new_deaths_smoothed_per_million","new_icu_covid","new_icu_covid_per_million","icu_total","icu_total_per_million","icu_covid","icu_covid_per_million","icu_free","icu_free_per_million","icu_occupancy_rate","population","population_density"
2020-06-01,"No",5795.571,150.1525,50.286,1.3085,-28,-0.717927555253093,3493,81.3305385497839,295,7.58041914532304,3198,73.7501194044609,5.99773818595256,51988557,60.268
2020-06-01,"Yes",20543.286,31.8515,956,1.4595,8,1.01762485795475,3939,219.552134571696,116,6.31961171607102,1895,102.624908416329,4.04698017100236,341630568,124.9255
2020-06-02,"No",5709.429,148.1675,54.571,1.42,53,1.39009018873903,3628,84.8439014564375,348,8.97050933406206,3280,75.8733921223754,6.656588517892,51988557,60.268
2020-06-02,"Yes",20736.429,32.0455,1002,1.5125,-16,-1.0296399342081,3400,188.574325358085,100,5.28997178186292,1690,90.9201112280544,4.84900667814692,341630568,124.9255
2020-06-03,"No",5808.286,150.62,62,1.6135,-10,-0.260249104196558,3628,84.8439014564375,338,8.71026022986551,3290,76.133641226572,6.47404014257254,51988557,60.268
2020-06-03,"Yes",20793.143,32.163,935,1.4045,5,0.342712683225477,3290,182.263724949204,105,5.6326844650884,1497,79.792008755105,4.56103470004128,341630568,124.9255
2020-06-04,"No",5847.857,151.2395,66.714,1.7345,-7,-0.182174372937591,3628,84.8439014564375,331,8.52808585692792,3297,76.3158155995096,6.34625627984892,51988557,60.268
2020-06-04,"Yes",21745.428,33.593,923,1.386,18,1.14437812346048,4002,223.110520323052,123,6.77706258854888,1727,92.8751660989399,3.67344312918168,341630568,124.9255
2020-06-05,"No",5909,152.9595,72.286,1.8785,3,0.0888446677562385,3656,85.5725989481878,334,8.61693052468415,3322,76.9556684235037,6.30262742274671,51988557,60.268
2020-06-05,"Yes",21938.143,33.8105,889.143,1.3355,-36,-2.40049066711001,3340,182.338819175787,87,4.37657192143887,1433,73.5504950346808,4.51048048526811,341630568,124.9255
2020-06-06,"No",6024.572,155.9565,78,2.027,-15,-0.390373656294838,3663,85.7547733211254,319,8.22655686838932,3344,77.5282164527361,6.01734894890121,51988557,60.268
2020-06-06,"Yes",21537,33.232,844.286,1.268,-5,-0.566181523603566,3170,167.893227441395,82,3.81039039783531,1402,67.3585435038016,4.33013698630137,341630568,124.9255
2020-06-07,"No",6244.143,161.729,83.572,2.172,16,0.416398566714493,3712,87.0299939316886,335,8.64295543510381,3377,78.3870384965848,6.20312338747242,51988557,60.268
2020-06-07,"Yes",21379.714,32.932,821,1.249,4,0.229476378504764,3126,165.368987277843,86,4.03986677634007,1546,75.6196931299731,4.41696801112657,341630568,124.9255
2020-06-08,"No",6129.143,158.784,164.715,4.2835,-8,-0.197429346859976,3744,87.8627910651175,327,8.44552608824383,3417,79.4172649768737,5.95917410498819,51988557,60.268
2020-06-08,"Yes",21245.143,32.714,783.715,1.201,25,2.04876667669452,4053,224.974867157192,111,6.08863345303459,1820,97.1490149073798,3.20458283704838,341630568,124.9255
2020-06-09,"No",6182.285,160.1875,156.715,4.0755,-8,-0.208199283357247,3795,89.19006149652,319,8.23732680488659,3476,80.9527346916334,5.72286731536397,51988557,60.268
2020-06-09,"Yes",21280,32.87,774.715,1.1875,-22,-1.2621200817762,3257,179.7560055155,89,4.82651337125839,1382,72.4682891418643,3.31035697215164,341630568,124.9255
2020-06-10,"No",6277.142,162.796,171.858,4.468,-3,-0.0673047947616965,3762,88.3312394526714,316,8.17002201012489,3446,80.1612174425465,5.69367569046908,51988557,60.268
2020-06-10,"Yes",21646.571,33.4525,755,1.166,-9,-0.348720221352153,3155,176.02731184722,80,4.47779314990624,1381,74.3662724005464,2.39561116119528,341630568,124.9255
2020-06-11,"No",6380.858,165.8735,185,4.81,20,0.520498208393117,3765,88.4093141839303,336,8.69052021851801,3429,79.7187939654123,6.03573501504245,51988557,60.268
2020-06-11,"Yes",20840.428,32.3455,728.142,1.1255,-4,-0.229476378504764,3389,189.451679989749,76,4.24831677140147,1559,84.5779712440084,2.2448076268301,341630568,124.9255
2020-06-12,"No",6746.715,175.3735,203.714,5.2955,-22,-0.561778092735158,3752,88.0709903484748,314,8.12874212578285,3438,79.9422482226919,5.63887338043625,51988557,60.268
2020-06-12,"Yes",20713.857,32.1235,720.143,1.1295,15,0.134262688164077,3179,174.834278453901,91,4.38257945956555,1438,75.79269286112,6.80391297999708,341630568,124.9255
2020-06-13,"No",5917.857,153.7935,223.428,5.8085,-5,-0.130124552098279,3783,88.8777625714841,309,7.99861757368457,3474,80.8791449977996,5.4944950298628,51988557,60.268
2020-06-13,"Yes",21270.857,33.048,731.857,1.147,-20,-1.25911631271286,2428,125.213624808572,71,3.12346314685269,1171,54.050415435057,4.61382469654528,341630568,124.9255
2020-06-14,"No",5992.428,155.751,241.428,6.277,1,0.0260249104196558,3787,88.9818622131628,310,8.02464248410423,3477,80.9572197290585,5.50447498410525,51988557,60.268
2020-06-14,"Yes",21426.428,33.393,716,1.1075,-1,-0.113236304720713,2344,120.394620859972,70,3.01022684213197,1168,53.9341753612729,4.81425839934444,341630568,124.9255
2020-06-15,"No",6061.142,157.487,157.428,4.0905,85,2.21211738567075,3906,92.0788265531018,395,10.236759869775,3511,81.8420666833268,6.70491884570113,51988557,60.268
2020-06-15,"Yes",22013,34.33,700,1.075,-16,-0.0240301525067021,3307,184.970883070779,54,2.98619668962527,1507,81.8182471638245,1.98342279183554,341630568,124.9255
